Day,Type,When,What,Track,Paper,Room,Author,Title,Link,CoAuthor,IsSolo
Wed,GISRUK Opens,1300-1330,Welcome,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Wed,GISRUK Opens,1330-1430,Keynote 1,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Wed,GISRUK Opens,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>","Natalia Tejedor Garavito, University of Southampton",<Talk title…>,,,1
Wed,GISRUK Session 1,1430-1530,Track A,Spatial Modelling 1,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Wed,GISRUK Session 1,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Chris Brunsdon,Analysing Shooting Incidents in New York Using Spatial Regression Techniques,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,,1
Wed,GISRUK Session 1,,,,2,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Céline Van Migerode,Flexurba: an open-source R package to flexibly reconstruct the Degree of Urbanisation classification.,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,"Ate Poorthuis, Ben Derudder",
Wed,GISRUK Session 1,,,,3,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Jonny Huck,“The Great Blackbury Pie” ~ or ~ Focal Area Bias in Geographically Weighted Analysis,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,"Matt Dennis, SM Labib",
Wed,GISRUK Session 1,1430-1530,Track B,Green Neighbourhoods,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Wed,GISRUK Session 1,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Kevin Credit,The Walkable Accessibility Score (WAS): A spatially-granular open-source measure of walkability for the continental US from 1997-2019,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,"Irene Farah, Emily Talen, Luc Anselin, Hassan Ghomrawi",
Wed,GISRUK Session 1, ,,,2,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Alexander Skinner,Exploring the Spatial and Built Environmental Characteristics of Residential Solar Photovoltaic Implementations in Luxembourg,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,Catherine Jones,
Wed,GISRUK Session 1, ,,,3,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Chris Larkin,Towards a National Low Traffic Neighbourhood Dataset,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,"Craig Robson, Alistair Ford",
Wed,GISRUK Session 1,1530-1600,Coffee Break,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#8c4772;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Wed,GISRUK Session 2,1600-1700,Track A,Visualization,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Wed,GISRUK Session 2,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Roger Beecham,gridmappr: an R package for creating small multiple gridmap layouts,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,,1
Wed,GISRUK Session 2,,,,2,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Jonny Huck,Evaluating Map Projections for Globe Production,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,,1
Wed,GISRUK Session 2,,,,3,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",René Westerholt,Extending the Moran scatterplot by indications of critical values and p-values: introducing the Moran seismogram and the drop plot,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,,1
Wed,GISRUK Session 2,1600-1700,Track B,Environment,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Wed,GISRUK Session 2,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Vitalii Kriukov,Habitat connectivity workflow to support decisions and trade-offs between local stakeholders,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,"Lucy Bastin, Ivette Serral, Joan Maso",
Wed,GISRUK Session 2, ,,,2,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Steve Carver,Mapping the connectivity of higher potential naturalness areas in the UK,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,Jonathan Carruthers-Jones,
Wed,GISRUK Session 2, ,,,3,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Timna Denwood,Landscape Perceptions in the Lake District: Distant and Close Reading in Participatory GIS,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,"Joanna Taylor, Jonny Huck",
Wed,GISRUK Social,1700--,Conference reception (see website for post-reception socials),,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#8c4772;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Thu,GISRUK Session 3,0930-1030,Track A,Spatial Justice,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Thu,GISRUK Session 3,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Ruth Nelson,Bringing moral clarity to urban planning: Developing data-driven metrics of spatial justice for neighbourhood accessibility,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,"Martijn Warnier, Trivik Verma",
Thu,GISRUK Session 3,,,,2,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Lingshan Li,Leveraging Machine Learning and Street View Imagery to Study the association between social inequalities and visual walkability in the South Africa Context,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,Stephen Law,
Thu,GISRUK Session 3,,,,3,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#d06c4b;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Elisabetta Pietrostefani,Spatial Empowerment: Participatory and Computational Mapping in El Mina's Neighbourhoods,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,,1
Thu,GISRUK Session 3,0930-1030,Track B,Social Media,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",,,,,
Thu,GISRUK Session 3,,,,1,"<svg aria-hidden=""true"" role=""img"" viewBox=""0 0 512 512"" style=""height:1em;width:1em;vertical-align:-0.125em;margin-left:auto;margin-right:auto;font-size:inherit;fill:#589157;overflow:visible;position:relative;""><path d=""M256 512A256 256 0 1 0 256 0a256 256 0 1 0 0 512zM216 336h24V272H216c-13.3 0-24-10.7-24-24s10.7-24 24-24h48c13.3 0 24 10.7 24 24v88h8c13.3 0 24 10.7 24 24s-10.7 24-24 24H216c-13.3 0-24-10.7-24-24s10.7-24 24-24zm40-208a32 32 0 1 1 0 64 32 32 0 1 1 0-64z""/></svg>",Matt Mason,Understanding the local spatial and temporal patterns of attitudes towards immigration using Twitter data,https://zenodo.org/communities/gisruk2023/records?q=&l=list&p=1&s=10&sort=newest,Francisco Rowe,
